#acc	ensGene
Q8NGA8	ENSG00000176695
Q6ZRP0	ENSG00000233701
P82650	ENSG00000175110
P35606	ENSG00000184432
P50120	ENSG00000114113
P09455	ENSG00000114115
Q96T66	ENSG00000163864
Q9H4D0	ENSG00000158258
Q8IWZ5	ENSG00000155890
Q96CQ1	ENSG00000114120
Q96A44	ENSG00000175093
Q8TE99	ENSG00000155893
Q8NAP3	ENSG00000177311
Q15283	ENSG00000155903
Q9UBF6	ENSG00000114125
Q8WTQ7	ENSG00000114124
P54709	ENSG00000069849
Q14188	ENSG00000114126
Q6ZS86	ENSG00000175066
Q8IZH2	ENSG00000114127
Q13535	ENSG00000175054
Q14651	ENSG00000120756
P48995	ENSG00000144935
Q9UKZ9	ENSG00000163710
Q6ZVX9	ENSG00000188582
O15042	ENSG00000163714
Q9Y4C5	ENSG00000175040
Q8IVB4	ENSG00000181804
Q8NDZ4	ENSG00000181744
O00469	ENSG00000152952
Q9NRQ2	ENSG00000114698
Q9NRY7	ENSG00000163746
O15162	ENSG00000188313
A0PG75	ENSG00000231213
Q8N9L1	ENSG00000174963
Q15915	ENSG00000152977
P30556	ENSG00000144891
P15086	ENSG00000153002
P15088	ENSG00000163751
P46976	ENSG00000163754
Q14527	ENSG00000071794
Q969F9	ENSG00000163755
P00450	ENSG00000047457
Q96CE8	ENSG00000163762
P30408	ENSG00000169908
P48230	ENSG00000169903
Q9GZV5	ENSG00000018408
Q86X83	ENSG00000114744
A6NFN9	ENSG00000206199
O43567	ENSG00000082996
P35080	ENSG00000070087
O75157	ENSG00000196428
Q9Y6X1	ENSG00000120742
Q9BY44	ENSG00000144895
P62341	ENSG00000198843
Q7L0X2	ENSG00000163645
O43255	ENSG00000181788
A8MYZ0	ENSG00000214237
P58418	ENSG00000163646
Q86YW9	ENSG00000144893
O14626	ENSG00000174946
Q15391	ENSG00000174944
Q9BY21	ENSG00000138271
Q9BPV8	ENSG00000181631
Q9H244	ENSG00000169313
Q6WRI0	ENSG00000152580
Q6P093	ENSG00000261846, ENSG00000197953
P22760	ENSG00000114771
Q9BXA5	ENSG00000198829
Q9NR56	ENSG00000152601
Q6UXP3	
P47900	ENSG00000169860
P61225	ENSG00000181467
P0CE67	
Q96DR7	ENSG00000114790, ENSG00000277101
Q9H2U1	ENSG00000174953
Q86SP6	ENSG00000174948
P08473	ENSG00000196549
Q4KWH8	ENSG00000114805
Q6P1S2	ENSG00000174928
O00400	ENSG00000169359
P49915	ENSG00000163655
Q14722	ENSG00000169282
Q9UNL2	ENSG00000114850
Q7Z3E1	ENSG00000163659
Q6ZMV7	ENSG00000197980
Q9UK58	ENSG00000163660
Q14D04	ENSG00000197415
P26022	ENSG00000163661
A1A4F0	ENSG00000174899
O60902	ENSG00000168779
Q96IZ7	ENSG00000174891
P58340	ENSG00000178053
Q96RP9	ENSG00000168827
Q9BS40	ENSG00000079257
P49788	ENSG00000118849
Q9H3U5	ENSG00000118855
Q1A5X6	ENSG00000214216
B3KU38	ENSG00000283154
P0DPB3	ENSG00000151967
P29459	ENSG00000168811
F5H4A9	ENSG00000180044
Q9P2H3	ENSG00000068885
Q9NTJ3	ENSG00000113810
Q8IWR1	ENSG00000213186
O00629	ENSG00000186432
Q8N4G2	ENSG00000179674
Q5SGD2	ENSG00000163590
O75752	ENSG00000169255
Q96D46	ENSG00000169251
Q8NFR3	ENSG00000196542
A6NHN0	ENSG00000182447
P14410	ENSG00000090402
O94933	ENSG00000121871
P06276	ENSG00000114200
A8MT70	ENSG00000169064
O75830	ENSG00000114204
Q8IV35	ENSG00000174776
Q9BUL8	ENSG00000114209
Q99574	ENSG00000163536
O00461	ENSG00000173905
Q03112	ENSG00000085276
Q9BYD9	ENSG00000184378
Q9NPC7	ENSG00000085274
Q8IZ02	ENSG00000171757
A6NIV6	ENSG00000188306
Q6UY01	ENSG00000114248
Q7Z3H4	ENSG00000187033
Q99442	ENSG00000008952
Q9UJ42	ENSG00000173890
Q8NDX5	ENSG00000173889
P41743	ENSG00000163558
P12757	ENSG00000136603
O75508	ENSG00000013297
Q8TBB6	ENSG00000013293
Q6P5R6	ENSG00000163584
Q9GZV4	ENSG00000163577
P11168	ENSG00000163581
Q9UKE5	ENSG00000154310
Q13393	ENSG00000075651
A6NML5	ENSG00000186329
Q53EP0	ENSG00000075420
Q92847	ENSG00000121853
P50591	ENSG00000121858
Q6PIU2	ENSG00000144959
Q9H8V3	ENSG00000114346
Q9BXB7	ENSG00000144962
Q8N2Q7	ENSG00000169760
Q58DX5	ENSG00000177694
Q9BZK7	ENSG00000177565
Q9Y691	ENSG00000197584
Q9HA38	ENSG00000172667
P42336	ENSG00000121879
Q9NPA1	ENSG00000171121
Q9UID6	ENSG00000121864
Q8IWA4	ENSG00000171109
Q9HAV0	ENSG00000114450
O96019	ENSG00000136518
Q9HD33	ENSG00000136522
O43674	ENSG00000136521
Q92995	ENSG00000058056
Q8IYB4	ENSG00000114757
Q96N46	ENSG00000163728
Q9UFE4	ENSG00000284862
P51114	ENSG00000114416
Q96DA6	ENSG00000205981
P48431	ENSG00000181449
Q9Y2G3	ENSG00000058063
Q96GG9	ENSG00000043093
Q96RQ3	ENSG00000078070
Q9UQV4	ENSG00000078081
Q86YR7	ENSG00000053524
Q9BYG0	ENSG00000176597
Q8WZ60	ENSG00000172578
Q6TFL4	ENSG00000114796
Q9ULM3	ENSG00000163872
Q9H9H5	ENSG00000180834
Q9H300	ENSG00000175193
O15440	ENSG00000114770
Q70Z44	ENSG00000186090
Q8WXA8	ENSG00000178084
A5X5Y0	ENSG00000186038
Q13144	ENSG00000145191
Q92997	ENSG00000161202
Q96CW1	ENSG00000161203
Q9NUQ8	ENSG00000161204
Q8N398	ENSG00000145198
Q92685	ENSG00000214160
P0DPD7	ENSG00000284753
P0DPD8	ENSG00000284917
Q96S95	ENSG00000163888
P0DPD6	ENSG00000145194
Q13200	ENSG00000175166
Q04637	ENSG00000114867
Q6UXB0	ENSG00000175182
P51788	ENSG00000114859
P52434	ENSG00000163882
P40225	ENSG00000090534
Q9H2X0	ENSG00000090539
P54753	ENSG00000182580
Q9HAY2	ENSG00000177383
Q8N3P4	ENSG00000156931
A6NLC5	ENSG00000187068
Q08426	ENSG00000113790
O43283	ENSG00000073803
Q96HV5	ENSG00000163900
Q8WWY8	ENSG00000163898
Q9HC62	ENSG00000163904
Q9Y6M1	ENSG00000073792
P62995	ENSG00000136527
P41161	ENSG00000244405
P49619	ENSG00000058866
P22914	ENSG00000213139
Q9NVR7	ENSG00000113838
Q9UBS4	ENSG00000090520
P02765	ENSG00000145192
Q9UGM5	ENSG00000090512
P04196	ENSG00000113905
P01042	ENSG00000113889
Q14240	ENSG00000156976
P35249	ENSG00000163918
Q15848	ENSG00000181092
P15907	ENSG00000073849
Q96EH5	ENSG00000163923
P59025	ENSG00000175077
P48740	ENSG00000127241
Q96DX8	ENSG00000136514
P61278	ENSG00000157005
Q5QGT7	ENSG00000198471
P41182	ENSG00000113916
Q93052	ENSG00000145012
Q6ZUI0	ENSG00000188001
Q9H3D4	ENSG00000073282
Q8IVL5	ENSG00000090530
O95832	ENSG00000163347
Q9Y5I7	ENSG00000113946
Q6UWW9	ENSG00000198398
Q9NPH3	ENSG00000196083
A6NCL1	ENSG00000205835
P61366	ENSG00000188729
Q765I0	ENSG00000188958
Q8IVM0	ENSG00000152492
Q56P42	ENSG00000253548
P61328	ENSG00000114279
Q8IYB1	ENSG00000180611
Q9HDD0	ENSG00000127252
Q4VNC0	ENSG00000187527
Q4VNC1	ENSG00000127249
O60313	ENSG00000198836
Q14469	ENSG00000114315
P22792	ENSG00000178772
Q8TF66	ENSG00000172061
P40197	ENSG00000178732
Q9H7F0	ENSG00000133657
Q2T9K0	ENSG00000145014
Q9H089	ENSG00000041802
Q8N2R8	ENSG00000185112
Q8NBI6	ENSG00000173950
Q15057	ENSG00000114331
P41236	ENSG00000184203
Q6NXS1	ENSG00000231989
P05090	ENSG00000189058
Q8N307	ENSG00000278114, ENSG00000275501, ENSG00000176945, ENSG00000276583
Q07912	ENSG00000061938
P02786	ENSG00000072274
Q8WVZ1	ENSG00000163958
Q86UW1	ENSG00000163959
P49585	ENSG00000161217
Q8WW35	ENSG00000213123
Q96DZ7	ENSG00000145107
O94888	ENSG00000163960
Q8IYW5	ENSG00000163961
Q147U7	ENSG00000214097
Q7Z5U6	ENSG00000185798
P0C2W1	ENSG00000174013
Q86YC3	ENSG00000174004
Q96LK0	ENSG00000174007
Q8TBF5	ENSG00000163964
Q13177	ENSG00000180370
Q96HI0	ENSG00000119231
P52298	ENSG00000114503
Q86VD9	ENSG00000119227
P08582	ENSG00000163975
Q12959	ENSG00000075711
Q02338	ENSG00000275544, ENSG00000161267
Q92622	ENSG00000145016
Q96QD9	ENSG00000122068
Q96II8	ENSG00000186001
Q9H095	ENSG00000114473
P18077	ENSG00000182899
Q96KR4	ENSG00000185621
Q8IYB9	ENSG00000272602
Q3SXZ3	ENSG00000250312
B4DXR9	ENSG00000186777
Q15928	ENSG00000131127
Q4W5N1	
Q8TF20	ENSG00000182903
Q5H8A4	ENSG00000174227
P35913	ENSG00000133256
P56385	ENSG00000169020
Q02045	ENSG00000215375
Q6UXD7	ENSG00000169026
Q3KNV8	ENSG00000185619
O14810	ENSG00000168993
O14976	ENSG00000178950
Q9BSA9	ENSG00000127419
P52824	ENSG00000145214
P35475	ENSG00000127415
Q9H2B4	ENSG00000145217
Q8N441	ENSG00000127418
Q495C1	ENSG00000178222
Q9BUD6	ENSG00000159674
Q13363	ENSG00000159692
Q7L5Y9	ENSG00000090316
Q2YD98	ENSG00000163945
Q8N1N5	
Q15270	ENSG00000235608
Q6NSI3	ENSG00000174137
Q14493	ENSG00000163950
A0AVI4	ENSG00000168936
Q9Y6A5	ENSG00000013810
P22607	ENSG00000068078
O95202	ENSG00000168924
O96028	ENSG00000109685
Q9H3P2	ENSG00000185049
Q5BLP8	ENSG00000243449
Q8N9F0	ENSG00000185818
Q7Z5Q5	ENSG00000130997
Q68CZ6	ENSG00000214367
Q14582	ENSG00000123933
Q9HCC9	ENSG00000159733
D6REC4	
P78317	ENSG00000063978
P78312	ENSG00000125386
Q8NFZ5	ENSG00000168884
P78314	ENSG00000087266
P35611	ENSG00000087274
Q14728	ENSG00000109736
P78316	ENSG00000087269
P32298	ENSG00000125388
P42858	ENSG00000197386
Q6ZTZ1	ENSG00000188981
O14924	ENSG00000159788
Q04756	ENSG00000109758
Q18PE1	ENSG00000175920
P30533	ENSG00000163956
P18825	ENSG00000184160
Q7RTM1	ENSG00000163982
Q5BJH2	ENSG00000132406
Q9NX58	ENSG00000145220
Q6ZSB9	ENSG00000168826
P42857	ENSG00000168824
Q9P2W9	ENSG00000168818
P28360	ENSG00000163132
Q9NRR1	ENSG00000170891
Q9NY57	ENSG00000152953
Q99440	
Q86UK5	ENSG00000173040
P57679	ENSG00000072840
Q14194	ENSG00000072832
Q6ZRC1	ENSG00000181215
Q96N16	ENSG00000152969
O76024	ENSG00000109501
Q9Y2T4	ENSG00000074211
Q9Y2E5	ENSG00000013288
Q9Y605	ENSG00000179010
P25815	ENSG00000163993
Q96HT8	ENSG00000178988
Q9NUP1	ENSG00000186222
Q92628	ENSG00000170871
Q9P2M4	ENSG00000132405
Q2M329	ENSG00000173013
Q86TJ2	ENSG00000173011
Q9HAV7	ENSG00000109519
Q96PQ0	ENSG00000184985
Q6NUJ1	ENSG00000178597
Q8N556	ENSG00000196526
Q6H8Q1	ENSG00000163995
Q8TE82	ENSG00000125089
P83110	ENSG00000170801
O15254	ENSG00000087008
Q8IYL2	ENSG00000155275
Q96P69	ENSG00000155269
Q66K79	ENSG00000109625
Q9NP08	ENSG00000288204, ENSG00000215612
A6NDY2	ENSG00000285950
A6NE21	ENSG00000285913, ENSG00000285657
A6NEW6	ENSG00000285720, ENSG00000285620
A6NJQ4	ENSG00000285937
A6NKC0	ENSG00000285975
A6NNJ1	ENSG00000285607
A8MWA6	ENSG00000285687
A8MX19	
A8MXJ8	
A8MXZ1	ENSG00000285765
D6RGX4	ENSG00000229924
P0C7V4	
P0C7W8	
P0C7W9	ENSG00000285814
P0C7X0	
Q658T7	
C9JJH3	ENSG00000231396
D6RBM5	ENSG00000250913
Q6QN14	
A8MUK1	ENSG00000227140
C9JPN9	ENSG00000227551
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
C9J2P7	ENSG00000223569
C9JPN9	ENSG00000227551
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6RA61	ENSG00000248933
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
C9JLJ4	ENSG00000232399
D6RBQ6	ENSG00000249104
D6RBM5	ENSG00000250913
C9JVI0	ENSG00000233136
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
C9J2P7	ENSG00000223569
D6RBM5	ENSG00000250913
Q6QN14	
A8MUK1	ENSG00000227140
C9JLJ4	ENSG00000232399
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
D6RBM5	ENSG00000250913
Q6QN14	
A8MUK1	ENSG00000227140
C9J2P7	ENSG00000223569
C9JVI0	ENSG00000233136
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9J2P7	ENSG00000223569
C9JPN9	ENSG00000227551
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
D6RBM5	ENSG00000250913
Q6QN14	
A8MUK1	ENSG00000227140
C9J2P7	ENSG00000223569
C9JPN9	ENSG00000227551
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
A8MUK1	ENSG00000227140
C9JPN9	ENSG00000227551
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
D6RBM5	ENSG00000250913
Q6QN14	
A8MUK1	ENSG00000227140
C9J2P7	ENSG00000223569
C9JPN9	ENSG00000227551
C9JVI0	ENSG00000233136
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
D6RBM5	ENSG00000250913
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
Q6QN14	
A8MUK1	ENSG00000227140
C9JVI0	ENSG00000233136
D6R901	ENSG00000249811
D6R9N7	ENSG00000250844
D6RA61	ENSG00000248933
D6RBQ6	ENSG00000249104
D6RCP7	ENSG00000248920
D6RJB6	ENSG00000250745
Q0WX57	ENSG00000228856, ENSG00000230430, ENSG00000231051, ENSG00000229579, ENSG00000231637, ENSG00000235780, ENSG00000232264
P59861	ENSG00000186146
P21918	ENSG00000169676
Q9NRM0	ENSG00000109667
O75083	ENSG00000071127
Q9C0D4	ENSG00000178163
Q7Z7G1	ENSG00000109684
O14792	ENSG00000002587
P51157	ENSG00000157869
P78367	ENSG00000109705
Q8NFC6	ENSG00000038219
Q7Z5Q1	ENSG00000137449
Q9BXJ2	ENSG00000163145
Q9P2K1	ENSG00000048342
Q9UKA1	ENSG00000118564
P0CF97	ENSG00000237765
Q10588	ENSG00000109743
P28907	ENSG00000004468
Q14512	ENSG00000137440
Q9BYJ0	ENSG00000137441
O43490	ENSG00000007062
Q6NXT6	ENSG00000169762
O43679	ENSG00000169744
P09417	ENSG00000151552
A0PK11	ENSG00000249581
P28838	ENSG00000002549
Q9H204	ENSG00000118579
Q9ULE4	ENSG00000047662
Q9NXF7	ENSG00000163257
Q9BPX3	ENSG00000109805
Q8N3X6	ENSG00000178177
O94813	ENSG00000145147
Q8N7B6	ENSG00000163138
Q6PIL6	ENSG00000185774
Q8IWK6	ENSG00000152990
Q9H227	
Q9UBK2	ENSG00000109819
O43143	ENSG00000109606
P08294	ENSG00000109610
Q6ZUS6	ENSG00000181982
Q8N0V4	ENSG00000153012
Q9HD40	ENSG00000109618
Q8TCG2	ENSG00000038210
Q9H5U6	ENSG00000168228
Q9UJX5	ENSG00000053900
O95436	ENSG00000157765
Q68CR1	ENSG00000091490
Q8N5G0	ENSG00000250317
Q06330	ENSG00000168214
P32238	ENSG00000163394
Q8N5T2	ENSG00000109680
Q9P246	ENSG00000109689
O60245	ENSG00000169851
Q8WZ64	ENSG00000047365
Q6ZMT9	ENSG00000197057
Q9ULI1	ENSG00000174145
Q8IY42	ENSG00000154274
Q8IUW5	ENSG00000181826
Q96G03	ENSG00000169299
Q86TI0	ENSG00000065882
Q9NZH5	ENSG00000250254
Q9H8V8	
P57682	ENSG00000109787
Q9BXR5	ENSG00000174123
Q15399	ENSG00000174125
Q9Y2C9	ENSG00000174130
Q8IWE2	ENSG00000197712
Q8N614	ENSG00000121895
Q96PQ7	ENSG00000109790
Q8NEZ3	ENSG00000157796
P35251	ENSG00000035928
Q86Z14	ENSG00000134962
P32969	ENSG00000163682
O43766	ENSG00000121897
O60701	ENSG00000109814
Q96QK8	ENSG00000163683
P61086	ENSG00000078140
Q29RF7	ENSG00000121892
Q86UW6	ENSG00000078177
Q15669	ENSG00000168421
Q9UGM1	ENSG00000174343
A0AV96	ENSG00000163694
Q8NE18	ENSG00000179299
Q92870	ENSG00000163697
P09936	ENSG00000154277
Q9UPQ0	ENSG00000064042
Q99453	ENSG00000109132
P57088	ENSG00000109133
Q3SXM0	ENSG00000182308
Q6PML9	ENSG00000014824
Q6ZU67	ENSG00000188848
A0PJX4	ENSG00000178343
Q9Y2Q0	ENSG00000124406
A8MXD5	ENSG00000215203
Q6ZWB6	ENSG00000183783
Q8N8F6	ENSG00000177752
Q8N442	ENSG00000151806
Q8TDQ7	ENSG00000163281
Q8N1C3	ENSG00000163285
P47869	ENSG00000151834
Q8TF08	ENSG00000170516
P48169	ENSG00000109158
P18505	ENSG00000163288
Q9NX08	ENSG00000169019
Q9P241	ENSG00000145246
Q9Y5Q5	ENSG00000145244
Q6ZNB6	ENSG00000170448
P29973	ENSG00000198515
Q8IZM0	
Q6NVV3	ENSG00000163293
P42681	ENSG00000074966
P42680	ENSG00000135605
Q9P270	ENSG00000109171
Q96EP9	ENSG00000145248
Q86SH2	ENSG00000182223
O94915	ENSG00000075539
Q9NX40	ENSG00000109180
Q56VL3	ENSG00000145247
Q9H720	ENSG00000109182
Q92564	ENSG00000109184
Q68CR7	ENSG00000188993
Q16585	ENSG00000163069
Q8TC71	ENSG00000163071
P62068	ENSG00000109189
Q9H9K5	ENSG00000226887
Q9BPW5	ENSG00000128045
Q8WU76	ENSG00000184178
Q6UN15	ENSG00000145216
Q8TBB1	ENSG00000072201
Q9UKJ5	ENSG00000109220
Q9BZM3	ENSG00000180613
P16234	ENSG00000134853
P10721	ENSG00000157404
P35968	ENSG00000128052
Q9H8P0	ENSG00000128039
Q9HC07	ENSG00000134851
O15516	ENSG00000134852
Q8N4E4	ENSG00000163440
P48645	ENSG00000109255
Q9NV70	ENSG00000090989
Q66GS9	ENSG00000174799
Q6ZU35	ENSG00000109265
Q4L235	ENSG00000157426
Q06203	ENSG00000128059
P22234	ENSG00000128050
O76094	ENSG00000174780
Q6T311	ENSG00000196503
P0DJG4	ENSG00000249693
Q9BPY8	ENSG00000171476
P20155	ENSG00000128040
Q13127	ENSG00000084093
Q8NC60	ENSG00000084092
P30876	ENSG00000047315
Q16270	ENSG00000163453
Q9HAR2	ENSG00000150471
Q5HYJ1	ENSG00000205678
P54756	ENSG00000145242
Q03188	ENSG00000145241
Q9ULZ2	ENSG00000035720
A0AVT1	ENSG00000033178
P30968	ENSG00000109163
O60235	ENSG00000153802
Q6ZMR5	ENSG00000187054
Q6ZWK6	ENSG00000198092
Q86T26	ENSG00000185873
Q96MU7	ENSG00000275272, ENSG00000083896
Q9UL52	ENSG00000087128
O75795	ENSG00000197888
P54855	ENSG00000196620
P36537	ENSG00000109181, ENSG00000275190
Q6UWM9	ENSG00000135220, ENSG00000278216
P16662	ENSG00000171234
O75310	ENSG00000213759
Q9BY64	ENSG00000135226
P06133	ENSG00000156096
P0DTE5	ENSG00000271271
P0DTE4	ENSG00000173610
O43704	ENSG00000173597
P49888	ENSG00000109193
P47710	ENSG00000126545
P05814	ENSG00000135222, ENSG00000283030
P02808	ENSG00000282891, ENSG00000126549
P15516	ENSG00000205649, ENSG00000282967
P15515	ENSG00000126550, ENSG00000283046
Q6MZM9	ENSG00000187533, ENSG00000282868
A1E959	ENSG00000109205
Q8NFU4	ENSG00000181617
P07498	ENSG00000171209
Q96KC9	ENSG00000145309
Q99954	ENSG00000109208
P02814	ENSG00000171201
Q99935	ENSG00000171199
Q8TAX7	ENSG00000171195
Q6UX39	ENSG00000187689
Q9NP70	ENSG00000178522
Q9NRM1	ENSG00000132464
P01591	ENSG00000132465
Q9NQZ2	ENSG00000132467
Q7L099	ENSG00000018189
Q12849	ENSG00000132463
Q7L9L4	ENSG00000173542
P27707	ENSG00000156136
Q9Y6R1	ENSG00000080493
P02774	ENSG00000145321
Q9Y5X5	ENSG00000056291
O15072	ENSG00000156140
Q8N8Q8	ENSG00000163626
O75179	ENSG00000132466
P02768	ENSG00000163631
P02771	ENSG00000081051
P43652	ENSG00000079557
Q6ZTQ3	ENSG00000169435
P10145	ENSG00000169429
P80162	ENSG00000124875
P10720	ENSG00000109272
P09341	ENSG00000163739
P02776	ENSG00000163737
P02775	ENSG00000163736
P42830	ENSG00000163735
P19876	ENSG00000163734
P19875	ENSG00000081041
Q9H903	ENSG00000163738
Q6UW88	ENSG00000182585
O14944	ENSG00000124882
P15514	ENSG00000109321
P35070	ENSG00000174808
Q6UWI2	ENSG00000169116
Q96PM5	ENSG00000163743
Q8TBB0	ENSG00000174796
Q17RF5	ENSG00000174792
Q92772	ENSG00000138769
Q9UN86	ENSG00000138757
O60763	ENSG00000138768
O14830	ENSG00000156194
Q02083	ENSG00000138744
Q9NVU7	ENSG00000198301
Q07325	ENSG00000138755
P02778	ENSG00000169245
O14625	ENSG00000169248
Q13508	ENSG00000156219
Q7Z3B4	ENSG00000138750
Q14108	ENSG00000138760
Q6ZV65	ENSG00000189157
O95210	ENSG00000118804
Q5M9N0	ENSG00000163749
Q8TF72	ENSG00000138771
A6NEL2	ENSG00000186212
Q9NVA2	ENSG00000138758
Q14094	ENSG00000118816
Q16589	ENSG00000138764
O43927	ENSG00000156234
Q96LI5	ENSG00000138767
Q9BYD6	ENSG00000169288
Q86XX4	ENSG00000138759
P12429	ENSG00000138772
Q9NSY1	ENSG00000138756
Q6TCH7	ENSG00000163291
Q9BSU3	ENSG00000156269
Q14410	ENSG00000196475
P58335	ENSG00000163297
Q9NQV8	ENSG00000152784
P12034	ENSG00000138675
Q6V702	ENSG00000197826
P12645	ENSG00000152785
Q13237	ENSG00000138669
Q0VAM2	ENSG00000138670
Q14103	ENSG00000138668
O14979	ENSG00000152795
Q9UHY7	ENSG00000145293
B9EJG8	ENSG00000249242
Q86SK9	ENSG00000145284
O94979	ENSG00000138674
Q9H5L6	ENSG00000168152
Q6MZP7	ENSG00000189308
Q9BT78	ENSG00000138663
Q9NZF1	ENSG00000145287
Q96H96	ENSG00000173085
Q9Y251	ENSG00000173083
Q8TDG4	ENSG00000163312
Q9Y3D5	ENSG00000163319
Q6UWZ7	ENSG00000163322
Q53EU6	ENSG00000138678
P78426	ENSG00000163623
